,ZASSETID,Title,Author,CoverURL,Genre,BroaderText,HighlightedText,Note,Chapter,Created,Modified,ZANNOTATIONASSETID,ZPLLOCATIONRANGESTART,ZANNOTATIONLOCATION
0,FAKE_ZASSETID,The Growth Mindset Workbook,Elaine Elliott-Moskwa,,,"The fixed mindset is not a pathology; it’s an insidious, unhelpful habit. ",insidious,,,717476825.498869,717476825.498923,FAKE_ZANNOTATIONASSETID,1,FAKE_ZANNOTATIONLOCATION
1,FAKE_ZASSETID,The Growth Mindset Workbook,Elaine Elliott-Moskwa,,,"So you choose safe or easy tasks, run from setbacks, and avoid asking for help from others lest you seem to have deficiencies.
			","So you choose safe or easy tasks, run from setbacks, and avoid asking for help from others lest you seem to have deficiencies.
			",,,717477210.290369,717477304.259288,FAKE_ZANNOTATIONASSETID,1,FAKE_ZANNOTATIONLOCATION
2,FAKE_ZASSETID,The Growth Mindset Workbook,Elaine Elliott-Moskwa,,,"So you choose safe or easy tasks, run from setbacks, and avoid asking for help from others lest you seem to have deficiencies.",lest,,,717477214.773543,717477255.630025,FAKE_ZANNOTATIONASSETID,1,FAKE_ZANNOTATIONLOCATION
3,FAKE_ZASSETID,The Growth Mindset Workbook,Elaine Elliott-Moskwa,,,"Much has already been written about the importance of your mindset, but understanding the importance of a growth mindset does not mean you can easily sustain it, just as understanding that it would be better to have more positive, rational thoughts, eat healthfully, and exercise doesn’t mean you will do this. ",sustain,,,717477400.564675,717477400.564698,FAKE_ZANNOTATIONASSETID,1,FAKE_ZANNOTATIONLOCATION
4,FAKE_ZASSETID,The Growth Mindset Workbook,Elaine Elliott-Moskwa,,,"It would be fabulous if you could understand that the fixed mindset can stifle your potential and then, having understood that concept, simply shift to a growth mindset and reap all the benefits and succeed.",fabulous,,,717477754.640654,717477754.640674,FAKE_ZANNOTATIONASSETID,1,FAKE_ZANNOTATIONLOCATION
5,FAKE_ZASSETID,The Growth Mindset Workbook,Elaine Elliott-Moskwa,,,"It would be fabulous if you could understand that the fixed mindset can stifle your potential and then, having understood that concept, simply shift to a growth mindset and reap all the benefits and succeed.",stifle,,,717477760.196762,717477760.196787,FAKE_ZANNOTATIONASSETID,1,FAKE_ZANNOTATIONLOCATION
6,FAKE_ZASSETID,The Growth Mindset Workbook,Elaine Elliott-Moskwa,,,"It would be fabulous if you could understand that the fixed mindset can stifle your potential and then, having understood that concept, simply shift to a growth mindset and reap all the benefits and succeed.",reap,,,717477773.505759,717477773.50578,FAKE_ZANNOTATIONASSETID,1,FAKE_ZANNOTATIONLOCATION
7,FAKE_ZASSETID,The Growth Mindset Workbook,Elaine Elliott-Moskwa,,,The fixed mindset is an unhelpful habit that gets in the way of tackling life’s challenges. ,tackling,,,717477784.991648,717477784.991671,FAKE_ZANNOTATIONASSETID,1,FAKE_ZANNOTATIONLOCATION
8,FAKE_ZASSETID,The Growth Mindset Workbook,Elaine Elliott-Moskwa,,,"How, for example, do you develop a growth mindset and move on with life when you are stuck unaware in a fixed mindset (I’m unlovable) after the devastating end of a relationship? ",devastating,,,717477838.624937,717477838.624959,FAKE_ZANNOTATIONASSETID,1,FAKE_ZANNOTATIONLOCATION
9,FAKE_ZASSETID,The Growth Mindset Workbook,Elaine Elliott-Moskwa,,,How do you move forward with a growth mindset and push ahead when you are mired in a fixed mindset (I’m not talented) after being rejected for a job you really wanted?,mired,,,717477850.490303,717477850.490323,FAKE_ZANNOTATIONASSETID,1,FAKE_ZANNOTATIONLOCATION
